title,artist
Ma Tiger Lily,Ma Tiger Lily
Ma Blushin' Rosie,Ma Blushin' Rosie
When Cloe Sings a Song,When Cloe Sings a Song
Because,Because
When You Were Sweet Sixteen,When You Were Sweet Sixteen
 I Want to Be a Military Man,I Want to Be a Military Man
Mandy Lee,Mandy Lee
When You Were Sweet Sixteen,When You Were Sweet Sixteen
Ma Tiger Lily,Ma Tiger Lily
A Bird in a Gilded Cage,A Bird in a Gilded Cage
A Bird in a Gilded Cage,A Bird in a Gilded Cage
Old Folks at Home (Way Down Upon the Swanee River),Old Folks at Home (Way Down Upon the Swanee River)
A Coon Band Contest,A Coon Band Contest
The Holy City,The Holy City
I Can't Tell Why I Love You But I Do,I Can't Tell Why I Love You But I Do
In the Shadow of the Pines,In the Shadow of the Pines
Mandy Lee,Mandy Lee
When We are Married,When We are Married
My Sunny Southern Home,My Sunny Southern Home
When Reuben Comes to Town,When Reuben Comes to Town
A Bird in a Gilded Cage,A Bird in a Gilded Cage
"Good-Bye, Dolly Gray","Good-Bye, Dolly Gray"
If it Wasn't For The 'Ouses in Between,If it Wasn't For The 'Ouses in Between
My Wild Irish Rose,My Wild Irish Rose
San Francisco Sadie,San Francisco Sadie
A Night Trip to Buffalo,A Night Trip to Buffalo
Soldiers of The Queen,Soldiers of The Queen
Little Brown Jug,Little Brown Jug
If You Were Only Mine,If You Were Only Mine
Mandy Lee,Mandy Lee
I'd Leave My Happy Home for You,I'd Leave My Happy Home for You
The Miner's Dream of Home,The Miner's Dream of Home
I Love You Just the Same,I Love You Just the Same
Nothing's Too Good for the Irish,Nothing's Too Good for the Irish
La Paimpolaise,La Paimpolaise
Le Trottoir De L'exposition,Le Trottoir De L'exposition
Stars & Stripes Forever,Stars & Stripes Forever
American Patrol,American Patrol
When Reuben Comes to Town,When Reuben Comes to Town
Absence Makes the Heart Grow Fonder,Absence Makes the Heart Grow Fonder
"Any Old Place I Hang My Hat is Home, Sweet Home To Me","Any Old Place I Hang My Hat is Home, Sweet Home To Me"
"Good Evening, Carrie","Good Evening, Carrie"
"Hello Central, Give Me Heaven","Hello Central, Give Me Heaven"
Uncle Josh's Huskin' Bee Dance,Uncle Josh's Huskin' Bee Dance
Jim Lawson's Horse Trade with Deacon Witherspoon,Jim Lawson's Horse Trade with Deacon Witherspoon
The Tale of the Bumble Bee,The Tale of the Bumble Bee
Knocked 'Em in The Old Kent Road,Knocked 'Em in The Old Kent Road
" Good-Bye, Dolly Gray","Good-Bye, Dolly Gray"
Tell Me Pretty Maiden,Tell Me Pretty Maiden
In the Shade of the Palm,In the Shade of the Palm
When the Harvest Days are Over,When the Harvest Days are Over
Whistling,Whistling
Whip-Poor-Will Song,Whip-Poor-Will Song
Ask a Policeman,Ask a Policeman
You Can't Keep A Good Man Down,You Can't Keep A Good Man Down
The Laughing Song,The Laughing Song
Absence Makes the Heart Grow Fonder,Absence Makes the Heart Grow Fonder
"Reuben Haskins from Skowhegan, Maine","Reuben Haskins from Skowhegan, Maine"
The Wedding of Reuben & the Maid,The Wedding of Reuben & the Maid
"Cindy, I Dreams About You","Cindy, I Dreams About You"
"Beer, Beer, Glorious Beer","Beer, Beer, Glorious Beer"
"Good-Bye, Dolly Gray","Good-Bye, Dolly Gray"
When the Harvest Days are Over,When the Harvest Days are Over
I Never Trouble Trouble Until Trouble Troubles Me,I Never Trouble Trouble Until Trouble Troubles Me
When I Think of You,When I Think of You
Ain't Dat a Shame?,Ain't Dat a Shame?
I'll Be with You When the Roses Bloom Again,I'll Be with You When the Roses Bloom Again
When You Were Sweet Sixteen,When You Were Sweet Sixteen
"I've a Longing in My Heart for You, Louise","I've a Longing in My Heart for You, Louise"
Why Did I Leave My Little Back Room?,Why Did I Leave My Little Back Room?
In the Shade of the Palm,In the Shade of the Palm
Ma Blushin' Rosie,Ma Blushin' Rosie
When You Were Sweet Sixteen,When You Were Sweet Sixteen
William Tell Overture,William Tell Overture
Scene at a Dog Fight,Scene at a Dog Fight
Tell Me Pretty Maiden,Tell Me Pretty Maiden
Bill Bailey (Won't You Please Come Home),Bill Bailey (Won't You Please Come Home)
"Good Morning, Carrie","Good Morning, Carrie"
A Conquista do Ar (Santos Dumont),A Conquista do Ar (Santos Dumont)
Under the Bamboo Tree,Under the Bamboo Tree
On a Sunday Afternoon,On a Sunday Afternoon
The Mansion of Aching Hearts,The Mansion of Aching Hearts
The Mansion of Aching Hearts,The Mansion of Aching Hearts
In the Good Old Summer Time,In the Good Old Summer Time
Arkansas Traveler,Arkansas Traveler
Under The Deodar,Under The Deodar
Viens Poupoule,Viens Poupoule
Way Down in Old Indiana,Way Down in Old Indiana
Down Where the Wurzburger Flows,Down Where the Wurzburger Flows
Semper Fidelis,Semper Fidelis
My Wild Irish Rose,My Wild Irish Rose
Last Day of School at Pumpkin Center,Last Day of School at Pumpkin Center
The Entertainer,The Entertainer
"Tell Me, Dusky Maiden","Tell Me, Dusky Maiden"
The Mansion of Aching Hearts,The Mansion of Aching Hearts
On a Sunday Afternoon,On a Sunday Afternoon
Ai & Que Sao Elas,Ai & Que Sao Elas
Bill Bailey (Won't You Please Come Home),Bill Bailey (Won't You Please Come Home)
Mister Dooley,Mister Dooley
Mister Dooley,Mister Dooley
When It's All Going Out & Nothing Coming In,When It's All Going Out & Nothing Coming In
Always Do As People Say You Should,Always Do As People Say You Should
Pretty Molly Shannon,Pretty Molly Shannon
Daybreak at Calamity Farm,Daybreak at Calamity Farm
For Old Time's Sake,For Old Time's Sake
Nancy Brown,Nancy Brown
Land of Hope & Glory,Land of Hope & Glory
Two Rubes in a Tavern,Two Rubes in a Tavern
"Oh, Didn't He Ramble","Oh, Didn't He Ramble"
I Don't Like That Face You Wear,I Don't Like That Face You Wear
Jennie Lee,Jennie Lee
In the Sweet Bye & Bye,In the Sweet Bye & Bye
On a Sunday Afternoon,On a Sunday Afternoon
Home Sweet Home,Home Sweet Home
In the Good Old Summer Time,In the Good Old Summer Time
In the Good Old Summer Time,In the Good Old Summer Time
"Come Down, Ma Ev'ning Star","Come Down, Ma Ev'ning Star"
That's How The Little Girl Got On,That's How The Little Girl Got On
Perdao Emilia,Perdao Emilia
Any Rags?,Any Rags?
Hiawatha (His Song to Minnehaha),Hiawatha (His Song to Minnehaha)
Goodbye Liza Jane,Goodbye Liza Jane
Hurrah for Baffin's Bay,Hurrah for Baffin's Bay
Uncle Josh On an Automobile,Uncle Josh On an Automobile
In the Good Old Summer Time,In the Good Old Summer Time
In the Good Old Summer Time,In the Good Old Summer Time
"Come Down, Ma Ev'ning Star","Come Down, Ma Ev'ning Star"
Old Kentucky Home,Old Kentucky Home
"Beautiful Bird, Sing On","Beautiful Bird, Sing On"
Dear Old Girl,Dear Old Girl
A Bird in a Gilded Cage,A Bird in a Gilded Cage
Reuben Haskins' Ride on a Cyclone Auto,Reuben Haskins' Ride on a Cyclone Auto
Hurrah for Baffin's Bay,Hurrah for Baffin's Bay
Always in the Way,Always in the Way
In the Sweet Bye & Bye,In the Sweet Bye & Bye
You Can't Fool All the People All the Time,You Can't Fool All the People All the Time
In the Good Old Summer Time,In the Good Old Summer Time
Isto & Bom,Isto & Bom
By the Sycamore Tree,By the Sycamore Tree
The Rosary,The Rosary
By the Sycamore Tree,By the Sycamore Tree
There's a Lot of Things You Never Learn at School,There's a Lot of Things You Never Learn at School
Hiawatha,Hiawatha
I'm a Jonah Man,I'm a Jonah Man
I'm Thinkin' of You All De While,I'm Thinkin' of You All De While
Corta Jaca,Corta Jaca
Parody on Hiawatha,Parody on Hiawatha
The Rosary,The Rosary
Hiawatha Two-Step,Hiawatha Two-Step
Heidelberg,Heidelberg
The Beer That Made Milwaukee Famous,The Beer That Made Milwaukee Famous
Heidelberg,Heidelberg
Up in a Cocoanut Tree,Up in a Cocoanut Tree
"If Money Talks, It Ain't On Speaking Terms with Me","If Money Talks, It Ain't On Speaking Terms with Me"
If I But Knew,If I But Knew
Uncle Josh & the Insurance Company,Uncle Josh & the Insurance Company
Bedelia,Bedelia
Sweet Adeline (You're the Flower of My Heart),Sweet Adeline (You're the Flower of My Heart)
Bedelia,Bedelia
Silver Threads Among the Gold,Silver Threads Among the Gold
Toyland,Toyland
